Id,Url,Brand,Model,Year,EngineVolume,Power,Drive,Mileage,Price,Region,Engine,Transmission
46,https://samara.drom.ru/audi/a4/44963439.html,Audi,A4,2003.0,1.8,150.0,4WD,270000.0,368900.0,Самара,бензин,автомат
46,https://tyumen.drom.ru/alfa_romeo/giulia/47580128.html,Alfa Romeo,Giulia,2017.0,2.0,280.0,задний,62000,2550000.0,Тюмень,бензин,автомат
47,https://chernogorsk.drom.ru/audi/a4/31794159.html,Audi,A4,2000.0,2.4,170.0,передний,365000.0,450000.0,Черногорск,бензин,механика
47,https://moscow.drom.ru/alfa_romeo/159/48771354.html,Alfa Romeo,159,2008.0,1.9,150.0,передний,296150,709900.0,Москва,дизель,автомат
48,https://moscow.drom.ru/audi/a6/49131493.html,Audi,A6,2000.0,2.5,150.0,4WD,206822.0,535000.0,Москва,дизель,механика
48,https://yablonovskiy.drom.ru/hyundai/elantra/48204484.html,Hyundai,Elantra,2019.0,2.0,150.0,передний,64000,1500000.0,Яблоновский,бензин,АКПП
48,https://korenovsk.drom.ru/alfa_romeo/147/49163006.html,Alfa Romeo,147,2002.0,2.0,150.0,передний,99000,370000.0,Кореновск,бензин,механика
49,https://pyshma.drom.ru/audi/a6/49131035.html,Audi,A6,2002.0,3.0,220.0,передний,399400.0,270000.0,Пышма,бензин,механика
49,https://vladivostok.drom.ru/toyota/land_cruiser_prado/48843468.html,Toyota,Land Cruiser Prado,2018.0,2.7,163.0,4WD,93000,2735000.0,Владивосток,бензин,АКПП
50,https://ufa.drom.ru/audi/a6/49129430.html,Audi,A6,2002.0,2.4,170.0,передний,380000.0,380000.0,Уфа,бензин,механика
50,https://vladivostok.drom.ru/toyota/prius_a/49137346.html,Toyota,Prius Alpha,2012.0,1.8,99.0,передний,108000,1065000.0,Владивосток,бензин,вариатор
50,https://surgut.drom.ru/alfa_romeo/156/49158145.html,Alfa Romeo,156,2003.0,2.0,165.0,передний,180000,185000.0,Сургут,бензин,механика
51,https://barnaul.drom.ru/audi/a6/49128298.html,Audi,A6,2002.0,1.8,150.0,передний,280000.0,325000.0,Барнаул,бензин,вариатор
51,https://moscow.drom.ru/volkswagen/polo/49147423.html,Volkswagen,Polo,2013.0,1.6,105.0,передний,87000,765000.0,Москва,бензин,АКПП
